,Masked_sentences,Labels
12988,For God’s [MASK] Mr.,"mercy,"
12989,"Hands, that’s why.” I spoke [MASK] a little heat, thinking of the bloody dirk he had hidden in his pocket and designed, in his ill thoughts, to end me with.",with
12990,"He, for his part, [MASK] a great draught of the wine and spoke with the most unusual solemnity.",took
12991,"“For thirty years,” he said, “I’ve sailed the seas and seen good and bad, better and worse, fair weather and foul, provisions running out, knives going, and [MASK] not.",what
12992,"Well, now I [MASK] you, I never seen good come o’ goodness yet.",tell
12993,"Him as strikes first is my fancy; dead men don’t bite; them’s my views [MASK] amen, so be it.",—
12994,"And now, you [MASK] here,” he added, suddenly changing his tone, “we’ve had about enough of this foolery.",look
12995,The [MASK] made good enough by now.,tide’s
12996,"You just take my orders, Cap’n Hawkins, and we’ll sail slap [MASK] and be done with it.” All told, we had scarce two miles to run; but the navigation was delicate, the entrance to this northern anchorage was not only narrow and shoal, but lay east and west, so that the schooner must be nicely handled to be got in.",in
12997,"I think I was a good, prompt subaltern, and I am very sure that Hands was an excellent pilot, for we went about and about and dodged [MASK] shaving the banks, with a certainty and a neatness that were a pleasure to behold.","in,"
12998,Scarcely had we passed [MASK] heads before the land closed around us.,the
12999,"The shores of North Inlet were as thickly wooded as those of the southern anchorage, but the space [MASK] longer and narrower and more like, what in truth it was, the estuary of a river.",was
13000,"Right before us, at the southern end, [MASK] saw the wreck of a ship in the last stages of dilapidation.",we
13001,"It had been a great vessel of three masts but [MASK] lain so long exposed to the injuries of the weather that it was hung about with great webs of dripping seaweed, and on the deck of it shore bushes had taken root and now flourished thick with flowers.",had
13002,"It was a sad sight, but it showed us that [MASK] anchorage was calm.",the
13003,"Treasure Island Robert Louis Stevenson Page 103/142“Now,” said Hands, “look there; there’s [MASK] pet bit for to beach a ship in.",a
13004,"Fine flat sand, never a cat’s paw, trees all around of it, and flowers a-blowing like a garding on that old ship.” “And once beached,” I inquired, “how shall we get her off again?” “Why, so,” he replied: “you take a line ashore there on the other side at low water, take a turn about one of them big pines; bring [MASK] back, take a turn around the capstan, and lie to for the tide.",it
13005,"Come high water, all hands take a pull upon the line, [MASK] off she comes as sweet as natur’.",and
13006,"And now, [MASK] you stand by.","boy,"
13007,"We’re near the bit now, and she’s [MASK] much way on her.",too
13008,"Starboard a little — so — steady — starboard — larboard a little — steady — steady!” So he issued his commands, which I breathlessly obeyed, till, all of a [MASK] he cried, “Now, my hearty, luff!” And I put the helm hard up, and the HISPANIOLA swung round rapidly and ran stem on for the low, wooded shore.","sudden,"
13009,"The excitement of these last manoeuvres had somewhat interfered with the [MASK] I had kept hitherto, sharply enough, upon the coxswain.",watch
13010,"Even then I was still so much interested, waiting for the ship to touch, that I had quite forgot the peril that hung [MASK] my head and stood craning over the starboard bulwarks and watching the ripples spreading wide before the bows.",over
13011,I might have fallen without a struggle for [MASK] life had not a sudden disquietude seized upon me and made me turn my head.,my
13012,"Perhaps I had heard a creak or seen his shadow moving with the tail of my eye; perhaps it was an instinct like a cat’s; but, sure enough, when I looked round, there was Hands, [MASK] half-way towards me, with the dirk in his right hand.",already
13013,"We must both have cried out aloud when [MASK] eyes met, but while mine was the shrill cry of terror, his was a roar of fury like a charging bully’s.",our
13014,"At the same instant, [MASK] threw himself forward and I leapt sideways towards the bows.",he
13015,"As I did so, I let go of the tiller, which sprang sharp to leeward, and I think this saved my life, for it struck Hands across the chest and stopped [MASK] for the moment, dead.","him,"
13016,"Before he could recover, [MASK] was safe out of the corner where he had me trapped, with all the deck to dodge about.",I
13017,"Just forward of the main-mast I stopped, drew a pistol from my pocket, took a cool aim, though he had already turned and was once more coming directly [MASK] me, and drew the trigger.",after
13018,"The hammer fell, but there followed neither flash nor sound; the priming [MASK] useless with sea-water.",was
13019,I cursed myself for [MASK] neglect.,my
13020,"Why had not I, long before, reprimed and reloaded my only [MASK]",weapons?
13021,"Then I should not have been as now, a [MASK] fleeing sheep before this butcher.",mere
13022,"Wounded as he was, it was [MASK] how fast he could move, his grizzled hair tumbling over his face, and his face itself as red as a red ensign with his haste and fury.",wonderful
13023,"I had no time to try my other pistol, nor indeed much inclination, for I was Treasure Island Robert Louis Stevenson Page 104/142sure [MASK] would be useless.",it
13024,"One thing I saw plainly: I must not [MASK] retreat before him, or he would speedily hold me boxed into the bows, as a moment since he had so nearly boxed me in the stern.",simply
13025,"Once so caught, and nine or [MASK] inches of the bloodstained dirk would be my last experience on this side of eternity.",ten
13026,"I placed my palms against the main-mast, which was [MASK] a goodish bigness, and waited, every nerve upon the stretch.",of
13027,"Seeing that I meant to dodge, he also paused; and a moment or two passed [MASK] feints on his part and corresponding movements upon mine.",in
13028,"It was such a game as I had often played at home about the rocks of Black [MASK] Cove, but never before, you may be sure, with such a wildly beating heart as now.",Hill
13029,"Still, as I say, it was a boy’s game, and I thought [MASK] could hold my own at it against an elderly seaman with a wounded thigh.",I
13030,"Indeed my courage had begun to rise so high that I allowed myself a few darting thoughts on what would be [MASK] end of the affair, and while I saw certainly that I could spin it out for long, I saw no hope of any ultimate escape.",the
13031,"Well, while things stood thus, suddenly the HISPANIOLA struck, staggered, [MASK] for an instant in the sand, and then, swift as a blow, canted over to the port side till the deck stood at an angle of forty-five degrees and about a puncheon of water splashed into the scupper holes and lay, in a pool, between the deck and bulwark.",ground
13032,"We were both of us capsized in a second, and both of us rolled, almost together, into the scuppers, the dead red-cap, with his [MASK] still spread out, tumbling stiffly after us.",arms
13033,"So near were we, indeed, that my head [MASK] against the coxswain’s foot with a crack that made my teeth rattle.",came
13034,"Blow and all, I was [MASK] first afoot again, for Hands had got involved with the dead body.",the
13035,"The sudden canting of the ship had made the deck no place for running on; I had to find some new way of escape, [MASK] that upon the instant, for my foe was almost touching me.",and
13036,"Quick as thought, I sprang into the mizzen shrouds, rattled up hand over hand, and did not [MASK] a breath till I was seated on the cross-trees.",draw
13037,"I had been saved by being prompt; the dirk had struck not half a foot below me as I pursued my upward flight; and there stood Israel Hands with his mouth open and [MASK] face upturned to mine, a perfect statue of surprise and disappointment.",his
13038,"Now that I had a moment to myself, I lost no time in changing the priming of my pistol, and then, having one ready for service, and to make assurance doubly sure, I proceeded to draw [MASK] load of the other and recharge it afresh from the beginning.",the
13039,"[MASK] new employment struck Hands all of a heap; he began to see the dice going against him, and after an obvious hesitation, he also hauled himself heavily into the shrouds, and with the dirk in his teeth, began slowly and painfully to mount.",My
13040,It cost Treasure Island Robert Louis Stevenson Page 105/142him no end of time and groans to haul his wounded leg behind [MASK] and I had quietly finished my arrangements before he was much more than a third of the way up.,"him,"
13041,"Then, with a pistol in either hand, I addressed [MASK]",him.
13042,"[MASK] more step, Mr. Hands,” said I, “and I’ll blow your brains out!",“One
13043,"Dead men don’t bite, you know,” I added with a [MASK]",chuckle.
13044,He stopped [MASK],instantly.
13045,"I could see by the working of his face that he was trying to think, and the process was so slow and laborious [MASK] in my new-found security, I laughed aloud.","that,"
13046,"At last, with a swallow [MASK] two, he spoke, his face still wearing the same expression of extreme perplexity.",or
13047,"In order to [MASK] he had to take the dagger from his mouth, but in all else he remained unmoved.",speak
13048,"“Jim,” says [MASK] “I reckon we’re fouled, you and me, and we’ll have to sign articles.","he,"
13049,"I’d have had you but for that there lurch, but I don’t have no luck, not I; [MASK] I reckon I’ll have to strike, which comes hard, you see, for a master mariner to a ship’s younker like you, Jim.” I was drinking in his words and smiling away, as conceited as a cock upon a wall, when, all in a breath, back went his right hand over his shoulder.",and
13050,"[MASK] sang like an arrow through the air; I felt a blow and then a sharp pang, and there I was pinned by the shoulder to the mast.",Something
13051,"In the horrid pain and surprise of the moment — I scarce can say it was by my own volition, and I [MASK] sure it was without a conscious aim — both my pistols went off, and both escaped out of my hands.",am
13052,"They did not fall alone; [MASK] a choked cry, the coxswain loosed his grasp upon the shrouds and plunged head first into the water.",with
13053,"Chapter XXVII 'Pieces of Eight' Owing to the [MASK] of the vessel, the masts hung far out over the water, and from my perch on the cross-trees I had nothing below me but the surface of the bay.",cant
13054,"Hands, who was not so far up, was in [MASK] nearer to the ship and fell between me and the bulwarks.",consequence
13055,He rose once to [MASK] surface in a lather of foam and blood and then sank again for good.,the
13056,"As the water settled, I could see him lying huddled together on the clean, bright sand in the shadow of the vessel’s [MASK]",sides.
13057,A fish or two whipped past his [MASK],body.
13058,"Sometimes, by the quivering of the water, he appeared to move a little, as if he were [MASK] to rise.",trying
13059,"But he was dead enough, for all that, being both shot and drowned, and was food [MASK] fish in the very place where he had designed my slaughter.",for
13060,"I was no sooner certain of this than I began to [MASK] sick, faint, and terrified.",feel
13061,The hot blood was running over my back and [MASK],chest.
13062,"The dirk, where it had pinned my shoulder to the mast, seemed to burn like a hot iron; yet it was not so much these real sufferings that distressed me, for these, it seemed to me, I could bear without a Treasure Island Robert Louis Stevenson Page 106/142murmur; it was the horror I had upon my [MASK] of falling from the cross-trees into that still green water, beside the body of the coxswain.",mind
13063,"I clung with both hands till my nails ached, and I shut [MASK] eyes as if to cover up the peril.",my
13064,"Gradually my mind came back again, my pulses quieted down to a more natural time, and I was once more in [MASK] of myself.",possession
13065,"It was my first thought to pluck forth the dirk, but either it stuck too hard or my nerve failed me, and I desisted with a violent [MASK]",shudder.
13066,"Oddly enough, that very shudder [MASK] the business.",did
13067,"The knife, in fact, had come the nearest in the world to missing me altogether; it held [MASK] by a mere pinch of skin, and this the shudder tore away.",me
13068,"The blood ran down the faster, to be sure, [MASK] I was my own master again and only tacked to the mast by my coat and shirt.",but
13069,"These last I broke [MASK] with a sudden jerk, and then regained the deck by the starboard shrouds.",through
13070,"For nothing in the world would I have again ventured, shaken as I was, upon the overhanging port shrouds [MASK] which Israel had so lately fallen.",from
13071,"I went below and did what I could for my wound; it pained me a good deal and still bled freely, but it was neither deep [MASK] dangerous, nor did it greatly gall me when I used my arm.",nor
13072,"Then I looked around me, and as the ship was now, in a sense, my own, I began to think of clearing it from its last passenger — the dead man, [MASK]",O’Brien.
13073,"He had pitched, as I have said, against the bulwarks, where he lay like some horrible, ungainly sort of puppet, life-size, [MASK] but how different from life’s colour or life’s comeliness!","indeed,"
13074,"In that position I could [MASK] have my way with him, and as the habit of tragical adventures had worn off almost all my terror for the dead, I took him by the waist as if he had been a sack of bran and with one good heave, tumbled him overboard.",easily
13075,"He German went in with a sounding plunge; the red cap came off and remained floating on the [MASK] and as soon as the splash subsided, I could see him and Israel lying side by side, both wavering with the tremulous movement of the water.",surface;
13076,"[MASK] though still quite a young man, was very bald.","O’Brien,"
13077,"There he lay, with that bald head [MASK] the knees of the man who had killed him and the quick fishes steering to and fro over both.",across
13078,I was [MASK] alone upon the ship; the tide had just turned.,now
13079,The sun was within so few degrees [MASK] setting that already the shadow of the pines upon the western shore began to reach right across the anchorage and fall in patterns on the deck.,of
13080,"The evening breeze had sprung up, and though it was well warded off by the hill with Treasure Island Robert Louis Stevenson Page 107/142the two peaks upon the east, the [MASK] had begun to sing a little softly to itself and the idle sails to rattle to and fro.",cordage
13081,I began to see a [MASK] to the ship.,danger
13082,The jibs I speedily doused and brought tumbling to the [MASK] but the main-sail was a harder matter.,"deck,"
13083,"Of course, when the schooner canted over, the boom had swung out-board, and the cap of it and a foot or [MASK] of sail hung even under water.",two
13084,I thought this [MASK] it still more dangerous; yet the strain was so heavy that I half feared to meddle.,made
13085,At last I got my knife [MASK] cut the halyards.,and
13086,"The peak dropped instantly, a great belly of loose canvas floated broad upon the water, and since, pull as I liked, I could [MASK] budge the downhall, that was the extent of what I could accomplish.",not
13087,"For the rest, the HISPANIOLA must trust to luck, like [MASK]",myself.
13088,"By this time the whole anchorage had fallen into shadow — the last rays, I remember, falling through a glade of [MASK] wood and shining bright as jewels on the flowery mantle of the wreck.",the
13089,"It began to be chill; [MASK] tide was rapidly fleeting seaward, the schooner settling more and more on her beam-ends.",the
13090,[MASK] scrambled forward and looked over.,I
13091,"It seemed shallow enough, and holding the cut hawser in both hands for a last security, [MASK] let myself drop softly overboard.",I
13092,"The water [MASK] reached my waist; the sand was firm and covered with ripple marks, and I waded ashore in great spirits, leaving the HISPANIOLA on her side, with her main-sail trailing wide upon the surface of the bay.",scarcely
13093,"About the same time, the sun went fairly down and the breeze whistled low in [MASK] dusk among the tossing pines.",the
13094,"At least, and at last, I was off the sea, [MASK] had I returned thence empty-handed.",nor
13095,"There lay the schooner, clear [MASK] last from buccaneers and ready for our own men to board and get to sea again.",at
13096,I had nothing nearer my fancy than to get home [MASK] the stockade and boast of my achievements.,to
13097,"Possibly I might be blamed a bit for my truantry, but the recapture of the HISPANIOLA was a clenching answer, and I hoped that even Captain Smollett [MASK] confess I had not lost my time.",would
13098,"So thinking, and in famous spirits, I began to set my face [MASK] for the block house and my companions.",homeward
13099,"I remembered that the most easterly of the rivers which drain into Captain Kidd’s anchorage ran [MASK] the two-peaked hill upon my left, and I bent my course in that direction that I might pass the stream while it was small.",from
13100,"The wood was pretty open, and keeping along the lower spurs, I had soon [MASK] the corner of that hill, and not long after waded to the mid-calf across the watercourse.",turned
13101,"This brought me near to where I had encountered Ben Gunn, the maroon; and I walked [MASK] circumspectly, keeping an eye on every side.",more
13102,"The dusk had come nigh hand Treasure Island Robert Louis Stevenson Page 108/142completely, and as I opened out the cleft between the two peaks, I became aware of a wavering glow against the sky, where, [MASK] I judged, the man of the island was cooking his supper before a roaring fire.",as
13103,"And yet I wondered, in my heart, [MASK] he should show himself so careless.",that
13104,"For if I could see this radiance, might it not reach the eyes of Silver himself where he camped upon [MASK] shore among the marshes?",the
13105,Gradually the night fell blacker; it was all I could do to guide myself even roughly towards my destination; the double hill behind me and the Spy-glass on my right hand loomed [MASK] and fainter; the stars were few and pale; and in the low ground where I wandered I kept tripping among bushes and rolling into sandy pits.,faint
13106,Suddenly a kind [MASK] brightness fell about me.,of
13107,"I looked up; [MASK] pale glimmer of moonbeams had alighted on the summit of the Spy-glass, and soon after I saw something broad and silvery moving low down behind the trees, and knew the moon had risen.",a
13108,"With this to help me, I passed rapidly over what remained to me of my journey, and sometimes walking, [MASK] running, impatiently drew near to the stockade.",sometimes
13109,"Yet, as I began [MASK] thread the grove that lies before it, I was not so thoughtless but that I slacked my pace and went a trifle warily.",to
13110,It would have been a poor end of my adventures to [MASK] shot down by my own party in mistake.,get
13111,"The moon was climbing higher and higher, its light began to fall here and there in masses through the [MASK] open districts of the wood, and right in front of me a glow of a different colour appeared among the trees.",more
13112,"[MASK] was red and hot, and now and again it was a little darkened — as it were, the embers of a bonfire smouldering.",It
13113,For the life of me I could not think what it might [MASK],be.
13114,At last I came right down upon [MASK] borders of the clearing.,the
13115,"The western end [MASK] already steeped in moonshine; the rest, and the block house itself, still lay in a black shadow chequered with long silvery streaks of light.",was
13116,"On the other side of the house an immense fire had burned itself into clear embers and shed a steady, red reverberation, [MASK] strongly with the mellow paleness of the moon.",contrasted
13117,There was not a soul stirring [MASK] a sound beside the noises of the breeze.,nor
13118,"I stopped, with much wonder in [MASK] heart, and perhaps a little terror also.",my
13119,"It had not been [MASK] way to build great fires; we were, indeed, by the captain’s orders, somewhat niggardly of firewood, and I began to fear that something had gone wrong while I was absent.",our
13120,"I stole round by the eastern end, keeping close in shadow, and at a convenient place, where the darkness [MASK] thickest, crossed the palisade.",was
13121,"To make assurance surer, I got upon my hands and knees [MASK] crawled, without a sound, towards the corner of the house.",and
13122,"As I drew nearer, my heart was suddenly Treasure Island Robert Louis [MASK] Page 109/142and greatly lightened.",Stevenson
13123,"It is not a pleasant noise in itself, and I have often complained of it at other times, but just then it was like music to hear my friends snoring together so [MASK] and peaceful in their sleep.",loud
13124,"The sea-cry of the watch, that beautiful “All’s well,” never fell more reassuringly on [MASK] ear.",my
13125,"In the meantime, there was no doubt of one thing; [MASK] kept an infamous bad watch.",they
13126,"If it had been Silver and his lads that were [MASK] creeping in on them, not a soul would have seen daybreak.",now
13127,"That [MASK] what it was, thought I, to have the captain wounded; and again I blamed myself sharply for leaving them in that danger with so few to mount guard.",was
13128,By this time I [MASK] got to the door and stood up.,had
13129,"All was dark within, [MASK] that I could distinguish nothing by the eye.",so
13130,"As [MASK] sounds, there was the steady drone of the snorers and a small occasional noise, a flickering or pecking that I could in no way account for.",for
13131,With my arms before me I walked [MASK] in.,steadily
13132,I should [MASK] down in my own place (I thought with a silent chuckle) and enjoy their faces when they found me in the morning.,lie
13133,"My foot struck something yielding — it was a sleeper’s leg; and he turned and groaned, but without [MASK]",awaking.
13134,"And then, all of a sudden, a shrill voice broke forth out of the [MASK] “Pieces of eight!",darkness:
13135,Pieces of [MASK],eight!
13136,Pieces of [MASK],eight!
13137,Pieces of [MASK],eight!
13138,"Pieces of eight!” and so forth, without pause or change, like [MASK] clacking of a tiny mill.",the
13139,"Silver’s green parrot, [MASK] Flint!",Captain
13140,"It was she whom I had [MASK] pecking at a piece of bark; it was she, keeping better watch than any human being, who thus announced my arrival with her wearisome refrain.",heard
13141,I had no time left [MASK] to recover.,me
13142,"At the sharp, clipping tone of the parrot, the sleepers awoke and sprang up; and [MASK] a mighty oath, the voice of Silver cried, “Who goes?” I turned to run, struck violently against one person, recoiled, and ran full into the arms of a second, who for his part closed upon and held me tight.",with
13143,"“Bring a torch, Dick,” [MASK] Silver when my capture was thus assured.",said
13144,And one of the [MASK] left the log-house and presently returned with a lighted brand.,men
13145,Treasure Island Robert Louis Stevenson Page 110/142Part [MASK],Six.
13146,"Captain Silver Chapter XXVIII In the Enemyʼs Camp The red glare of the [MASK] lighting up the interior of the block house, showed me the worst of my apprehensions realized.","torch,"
13147,"The pirates were in possession of the house and [MASK] there was the cask of cognac, there were the pork and bread, as before, and what tenfold increased my horror, not a sign of any prisoner.",stores:
13148,"I could only judge that all had perished, and my heart smote me sorely that I had not been [MASK] to perish with them.",there
13149,"There were six of the buccaneers, all told; not another man was left [MASK]",alive.
13150,"Five of them were on their feet, flushed and swollen, suddenly called out of [MASK] first sleep of drunkenness.",the
13151,"The sixth had only risen upon his elbow; he [MASK] deadly pale, and the bloodstained bandage round his head told that he had recently been wounded, and still more recently dressed.",was
13152,I remembered the man who had been shot and had run back among the woods in the great [MASK] and doubted not that this was he.,"attack,"
13153,"The [MASK] sat, preening her plumage, on Long John’s shoulder.",parrot
13154,"He [MASK] I thought, looked somewhat paler and more stern than I was used to.","himself,"
13155,"He [MASK] wore the fine broadcloth suit in which he had fulfilled his mission, but it was bitterly the worse for wear, daubed with clay and torn with the sharp briers of the wood.",still
13156,"“So,” said he, [MASK] Jim Hawkins, shiver my timbers!",“here’s
13157,"Dropped in, [MASK] eh?","like,"
13158,"Well, come, I take that friendly.” And thereupon he sat down across [MASK] brandy cask and began to fill a pipe.",the
13159,"“Give me a loan of the link, Dick,” said he; and then, when he had a good light, “That’ll do, lad,” he [MASK] “stick the glim in the wood heap; and you, gentlemen, bring yourselves to!",added;
13160,You needn’t stand up for Mr. Hawkins; HE’LL excuse [MASK] you may lay to that.,"you,"
13161,"And so, Jim”— stopping the tobacco —“here you were, and [MASK] a pleasant surprise for poor old John.",quite
13162,"I see you were smart when first I set my eyes on you, but this here gets away from me clean, it do.” To all this, as may be well supposed, I [MASK] no answer.",made
13163,"They had set me with my back against the wall, and I stood there, looking [MASK] in the face, pluckily enough, I hope, to all outward appearance, but with black despair in my heart.",Silver
13164,Silver [MASK] a whiff or two of his pipe with great composure and then ran on again.,took
13165,"“Now, you see, Jim, so be as you ARE here,” says [MASK] “I’ll give you a piece of my mind.","he,"
13166,"I’ve always liked you, I have, for a lad of spirit, and the picter of my own self when [MASK] was young and handsome.",I
13167,"I always wanted you [MASK] jine and take your share, and die a gentleman, and now, my cock, you’ve got to.",to
13168,"Cap’n Smollett’s a fine seaman, as I’ll own up to any [MASK] but stiff on discipline.","day,"
13169,"‘Dooty [MASK] dooty,’ says he, Treasure Island Robert Louis Stevenson Page 111/142and right he is.",is
13170,Just you keep [MASK] of the cap’n.,clear
13171,"The doctor himself is gone dead again you —‘ungrateful scamp’ was what he said; and the short and the long of the whole story is about here: you can’t go back to your own lot, for they won’t have you; and without you start a third ship’s German company all by yourself, which might be lonely, you’ll have to jine with Cap’n Silver.” So far [MASK] good.",so
13172,"My friends, then, were still alive, and though I partly believed the truth of Silver’s statement, [MASK] the cabin party were incensed at me for my desertion, I was more relieved than distressed by what I heard.",that
13173,"“I don’t say nothing as to your being in our hands,” continued Silver, “though there you are, and you may lay [MASK] it.",to
13174,I’m all for argyment; I never [MASK] good come out o’ threatening.,seen
13175,"If you like the service, well, you’ll jine; and if you don’t, Jim, why, you’re free to answer no — free and welcome, shipmate; and if [MASK] can be said by mortal seaman, shiver my sides!” “Am I to answer, then?” I asked with a very tremulous voice.",fairer
13176,"Through all this sneering talk, I was made to [MASK] the threat of death that overhung me, and my cheeks burned and my heart beat painfully in my breast.",feel
13177,"“Lad,” said Silver, “no one’s [MASK] of you.",a-pressing
13178,Take your [MASK],bearings.
13179,"None of us won’t hurry you, mate; time goes so pleasant in your company, you see.” “Well,” says I, growing a bit bolder, “if I’m to choose, I declare I have a right to know what’s what, and why you’re here, and where my friends are.” “Wot’s wot?” repeated one [MASK] the buccaneers in a deep growl.",of
13180,"“Ah, he’d be a lucky one as knowed that!” “You’ll perhaps batten down your [MASK] till you’re spoke to, my friend,” cried Silver truculently to this speaker.",hatches
13181,"And then, in his first gracious tones, he replied to me, “Yesterday morning, Mr. Hawkins,” said he, “in the dog-watch, down came Doctor Livesey with a flag [MASK] truce.",of
13182,"Says he, ‘Cap’n Silver, [MASK] sold out.",you’re
13183,"Ship’s gone.’ Well, maybe we’d been taking a [MASK] and a song to help it round.","glass,"
13184,[MASK] won’t say no.,I
13185,"Leastways, none of [MASK] had looked out.",us
13186,"We looked out, and by thunder, the [MASK] ship was gone!",old
13187,"I never seen a pack o’ fools look fishier; and you may lay to that, if I tells [MASK] that looked the fishiest.",you
13188,"‘Well,’ says the doctor, ‘let’s bargain.’ We bargained, him and I, and here we are: stores, brandy, block house, the firewood you was thoughtful [MASK] to cut, and in a manner of speaking, the whole blessed boat, from cross-trees to kelson.",enough
13189,"As for them, they’ve tramped; [MASK] don’t know where’s they are.” Treasure Island Robert Louis Stevenson Page 112/142He drew again quietly at his pipe.",I
13190,"“And lest you should take it into that head of yours,” [MASK] went on, “that you was included in the treaty, here’s the last word that was said: ‘How many are you,’ says I, ‘to leave?’ ‘Four,’ says he; ‘four, and one of us wounded.",he
13191,"As for that boy, I don’t know where he is, [MASK] him,’ says he, ‘nor I don’t much care.",confound
13192,We’re about sick [MASK] him.’ These was his words.,of
13193,“Is that [MASK] I asked.,all?”
13194,"“Well, it’s all that you’re to [MASK] my son,” returned Silver.","hear,"
13195,"[MASK] now I am to choose?” “And now you are to choose, and you may lay to that,” said Silver.",“And
13196,"“Well,” said I, “I am not such a fool but I know pretty well what I have [MASK] look for.",to
13197,"Let the worst come to the worst, it’s little [MASK] care.",I
13198,I’ve seen too many die since [MASK] fell in with you.,I
13199,"But there’s a thing or two I have to tell you,” I said, and by this time I was quite excited; “and the first is this: here you are, in a bad way — ship lost, treasure lost, men lost, your whole business gone to wreck; and if you want [MASK] know who did it — it was I!",to
13200,"I was in the apple barrel the night we sighted land, [MASK] I heard you, John, and you, Dick Johnson, and Hands, who is now at the bottom of the sea, and told every word you said before the hour was out.",and
13201,"And as for the schooner, it was I who cut her cable, and it was I that killed [MASK] men you had aboard of her, and it was I who brought her where you’ll never see her more, not one of you.",the
13202,The laugh’s on my side; I’ve had the top of this business from the first; I no more [MASK] you than I fear a fly.,fear
13203,"Kill [MASK] if you please, or spare me.","me,"
13204,"But one thing I’ll say, and no more; if you spare me, bygones are [MASK] and when you fellows are in court for piracy, I’ll save you all I can.","bygones,"
13205,It [MASK] for you to choose.,is
13206,"Kill another and do yourselves no good, or spare me and keep a witness to save you [MASK] the gallows.” I stopped, for, I tell you, I was out of breath, and to my wonder, not a man of them moved, but all sat staring at me like as many sheep.",from
13207,"And while they were still staring, I broke out again, “And now, Mr. Silver,” I said, “I believe you’re the best man here, and if things go to the worst, I’ll take it kind of you to let the doctor know the way I took it.” “I’ll bear it in mind,” said Silver with an accent so [MASK] that I could not, for the life of me, decide whether he were laughing at my request or had been favourably affected by my courage.",curious
13208,"“I’ll put one to that,” cried the old mahogany-faced seaman — Morgan by name — whom I [MASK] seen in Long John’s public-house upon the quays of Bristol.",had
13209,"“It was him that knowed Black Dog.” Treasure Island Robert Louis Stevenson Page 113/142“Well, and see here,” [MASK] the sea-cook.",added
13210,"“I’ll put [MASK] again to that, by thunder!",another
13211,For it was this same boy that [MASK] the chart from Billy Bones.,faked
13212,"First and last, we’ve split upon Jim Hawkins!” “Then here goes!” said Morgan with an [MASK]",oath.
13213,"And he sprang up, drawing his knife as if he [MASK] been twenty.",had
13214,"“Avast, there!” [MASK] Silver.",cried
13215,"“Who are you, [MASK] Morgan?",Tom
13216,"Maybe you thought you [MASK] cap’n here, perhaps.",was
13217,"By the powers, [MASK] I’ll teach you better!",but
13218,"Cross me, and you’ll go where many a good man’s gone before you, first and last, these thirty year back — some to the yard-arm, shiver my timbers, [MASK] some by the board, and all to feed the fishes.",and
13219,"There’s never a man looked me between the [MASK] and seen a good day a’terwards, Tom Morgan, you may lay to that.” Morgan paused, but a hoarse murmur rose from the others.",eyes
13220,"“Tom’s right,” said [MASK]",one.
13221,"“I stood hazing long enough from one,” [MASK] another.",added
13222,"“I’ll be hanged if I’ll be hazed by you, John Silver.” “Did any of you gentlemen want to have it out with ME?” roared Silver, bending far forward from [MASK] position on the keg, with his pipe still glowing in his right hand.",his
13223,“Put a name on what you’re at; you ain’t [MASK] I reckon.,"dumb,"
13224,Him that wants shall get [MASK],it.
13225,"Have I lived this many years, and a son of a rum puncheon cock his hat [MASK] my hawse at the latter end of it?",athwart
13226,"[MASK] know the way; you’re all gentlemen o’ fortune, by your account.",You
13227,"Well, [MASK] ready.",I’m
13228,"Take a cutlass, him that dares, and I’ll see the colour of his inside, crutch [MASK] all, before that pipe’s empty.” Not a man stirred; not a man answered.",and
13229,"“That’s your sort, is it?” he added, returning his pipe to his [MASK]",mouth.
13230,"“Well, you’re a gay lot [MASK] look at, anyway.",to
13231,Not much worth to [MASK] you ain’t.,"fight,"
13232,P’r’aps you can [MASK] King George’s English.,understand
13233,I’m cap’n [MASK] by ’lection.,here
13234,I’m cap’n here because I’m the best man by [MASK] long sea-mile.,a
13235,"You won’t [MASK] as gentlemen o’ fortune should; then, by thunder, you’ll obey, and you may lay to it!","fight,"
13236,I like that [MASK] now; I never seen a better boy than that.,"boy,"
13237,"He’s more a man than any pair of rats of you in this here house, and what I say is this: let me see him that’ll lay a hand on him — that’s what I say, and [MASK] may lay to it.” There was a long pause after this.",you
13238,"I stood straight up against the wall, my heart still going like a sledgehammer, but with a ray of hope now shining [MASK] my bosom.",in
13239,"Silver leant back against the wall, his arms crossed, his pipe in the corner of [MASK] mouth, as calm as though he had been in church; yet his eye kept wandering furtively, and he kept the tail of it on his unruly followers.",his
13240,"They, on their part, drew gradually together towards the far end of the block house, and the low hiss [MASK] their whispering sounded in my ear continuously, like a stream.",of
13241,"One after another, they Treasure Island Robert Louis Stevenson Page 114/142would look up, and the [MASK] light of the torch would fall for a second on their nervous faces; but it was not towards me, it was towards Silver that they turned their eyes.",red
13242,"“You seem to have a lot to say,” remarked Silver, spitting [MASK] into the air.",far
13243,"“Pipe up and let me hear it, or lay to.” “Ax [MASK] pardon, sir,” returned one of the men; “you’re pretty free with some of the rules; maybe you’ll kindly keep an eye upon the rest.",your
13244,"This crew’s dissatisfied; this crew don’t vally bullying a marlin-spike; this crew has its rights [MASK] other crews, I’ll make so free as that; and by your own rules, I take it we can talk together.",like
